# d7-02 — troubleshooting judgement
diagnosing-poor-output|7.1|3|A team's workflow fails on roughly one input in ten and they have not looked at which ones.|Collect the failing cases and look for what they have in common|Add a retry so that failures are attempted a second time before the workflow gives up on the input|Move to a stronger model tier so the failures become rarer|Add a review step covering every output the workflow produces|Failures are rarely random. Collecting them and looking for a shared property is what turns a rate into a diagnosable pattern.|Retries help only with transient failures. A stronger tier and universal review both respond before the cause is known.
prompt-repair|7.1|3|An associate's prompt is two pages long after twenty rounds of case-by-case fixes and new instructions no longer help.|Rebuild it around the general rule the fixes share|Continue adding instructions for each new case as it arises|Split it across several shorter prompts run one after another|Move the newest instructions to the top|Accretion produces a prompt where instructions compete and dilute. Consolidating around the underlying rule restores the leverage each one has.|Continued accretion created the plateau. Splitting and reordering redistribute a bloated set without simplifying it.
context-problems|7.1|3|A team's prompt includes a reference document and answers frequently contradict it.|Instruct the model to answer from the document and to say when it is silent|Ask the question again using wording that matches the document more closely|Make the reference document shorter so it is easier to use|Ask for the answer twice and compare|Supplied documents get blended with general knowledge unless grounding is stated. The instruction is what makes the document authoritative.|Rewording improves retrieval without preventing the blend. Shortening and repeat runs both leave the grounding unstated.
consistency-issues|7.2|3|A team's output format is stable in testing and varies in production.|Compare the production inputs against the test inputs|Add a stronger format instruction to the prompt so that the model is less likely to deviate from the required structure when it encounters unusual material in production|Validate and reformat the output in production|Test with a larger sample of production inputs before deciding|A difference between test and production behaviour usually reflects a difference in the inputs. Comparing them is the direct diagnosis.|A stronger instruction treats an undiagnosed cause. Validation is a good control but not the diagnosis, and more testing measures rather than explains.
refusals-and-limits|7.2|3|An associate finds the model will not produce a specific numeric answer and instead gives a range.|Check whether the underlying data supports a point answer at all|Insist on a single figure, explaining that the team needs a specific number in order to make the decision they are currently working through with the information available|Ask for the midpoint of the range and present that as the figure|Move to a stronger model tier so a point answer is produced|A range where a point was requested often reflects genuine uncertainty in the inputs. Checking whether a point answer is supportable is the right first question.|Insisting produces false precision. A midpoint discards the uncertainty, and a stronger tier does not create data that is not there.
efficiency-tuning|7.3|3|A team's prompt sends a 40-page appendix that answers have never drawn on.|Remove the appendix and confirm the answers are unaffected|Keep the appendix in case a future question requires it|Move to a cheaper tier so the appendix costs less to send|Compress the appendix into a summary|Material that never contributes is cost on every request. Removing it and verifying is the direct saving.|Retaining for hypothetical need is how prompts bloat. A cheaper tier pays less for the same waste, and a summary still carries unused content.
diagnosing-poor-output|7.1|3|A team's results are inconsistent and they have changed the prompt, the tier and the inputs since it started.|Return to a known configuration and change one thing at a time|Continue adjusting until the results stabilise, since the combination that works will eventually be found through the process of trying different arrangements|Keep the current configuration and accept the inconsistency|Ask Claude to diagnose the inconsistency itself|With three variables changed, nothing is attributable. Returning to a baseline and varying one factor is what makes the investigation interpretable.|Undirected adjustment is the search that has already failed. Keeping the configuration accepts the inconsistency, and the model cannot diagnose its own variability.
prompt-repair|7.1|3|An associate's prompt asks for a summary and an assessment, and the assessment is always thin.|Split them into two requests so each gets a full pass|Ask for a longer assessment so that it receives more attention within the response and the analysis is developed more fully than it currently is|Ask for the assessment first and the summary afterwards|Add an instruction emphasising the assessment|A combined request splits attention between the two tasks. Separating them gives the assessment a full pass over the material.|Length, ordering and emphasis all redistribute attention within a single response rather than changing that it is shared.
context-problems|7.1|3|A team supplies twelve documents and the model consistently draws on the same three.|Ask questions that name the documents the answer should draw on|Upload the nine unused documents again in case they were not processed correctly when they were first added to the material supplied with the prompt|Reduce the set to the three documents that are being used|Ask for longer answers so more of the documents are drawn on|Retrieval favours whatever matches the question best. Naming the intended sources is what brings the others into play.|Re-uploading assumes a processing failure. Reducing the set discards material, and length does not change which documents are consulted.
consistency-issues|7.2|3|A team gets stable results with short inputs and unstable results with long ones.|Investigate whether the long inputs exceed what the model handles reliably here|Ask for shorter answers when the input is long so that the total amount of material being handled at|Split the long inputs into smaller pieces before processing|Move to a stronger tier so long inputs are handled better|Instability correlated with input length is a diagnosable pattern about how much material is being handled at once. Investigating that is the direct step.|Shorter answers address the output side. Splitting and tier changes are both remedies chosen before the cause is confirmed.
refusals-and-limits|7.2|3|A team's request is declined and the response explains that the task requires information about a specific private individual.|Reconsider whether the task is appropriate given what the response identified|Rephrase the request so that the individual is described|Split the request into smaller parts|Ask a colleague to make the same request|The response has identified a substantive concern about a private individual. Reconsidering the task is the appropriate response rather than working around the objection.|Describing rather than naming, splitting the request and having someone else ask are all circumvention of a concern that was raised for a reason.
efficiency-tuning|7.3|3|An associate's workflow runs a verification call on every output and has never measured what it catches.|Measure what it catches before deciding whether it earns its cost|Remove it, since verification calls double the cost of the workflow and the team has no evidence that they are catching anything worth the money being spent|Keep it, since verification is always worthwhile|Run the verification on a sample of outputs rather than all|Whether the verification is worth its cost depends on what it catches, which is measurable. That measurement is what makes the decision defensible.|Removing and keeping both decide without the evidence. Sampling reduces cost and catch rate together without measuring either.
diagnosing-poor-output|7.1|3|A team's workflow degrades gradually over months with no single change responsible.|Compare current inputs and configuration against what they were originally|Rebuild the workflow from scratch so that it reflects the team's current understanding|Add more review so the degraded output is caught sooner|Accept gradual drift as a normal property of such workflows|Gradual degradation is usually accumulated small changes in inputs or configuration. Comparing against the original state is what reveals them.|Rebuilding discards a working system without learning what drifted. More review manages symptoms, and accepting drift abandons the diagnosis.
prompt-repair|7.1|3|A prompt produces good output except that it always includes a disclaimer the team does not want.|Say explicitly that no disclaimer should be included|Remove the disclaimer manually from each response before it is used|Ask for shorter output so the disclaimer takes up less room|Ask the model why it includes the disclaimer|A specific unwanted element is removed by naming it as an exclusion. That is the direct instruction.|Manual removal repeats forever. Shorter output may drop other content, and asking about the cause is a diagnostic detour for a simple exclusion.
context-problems|7.1|3|A team's answers improved after they removed material from the prompt, which surprised them.|Take it as evidence that some of the material was competing with what mattered|Treat it as a coincidence and restore the material, since more context should generally produce better answers and the improvement may not be attributable to the removal|Remove more material until the quality starts to fall|Add the removed material back gradually and watch the effect|Improvement after removal is direct evidence that the removed material was interfering. Recognising that is the durable lesson about context.|Dismissing it as coincidence discards a finding. Removing until failure and adding back gradually are both searches that skip the insight.
consistency-issues|7.2|3|An associate wants their workflow to behave identically for every user and each user has their own configuration.|Move the workflow into shared configuration so personal settings do not apply|Ask all the users to align their personal settings so that everyone is working from the same starting point and the workflow behaves the same way for each of them|Document the settings each user is required to configure|Have one person run the workflow for everyone|Account-level settings are invisible inputs to every request. Moving the workflow into shared configuration removes the dependency structurally.|Manual alignment relies on everyone maintaining it. Documentation records the requirement without enforcing it, and single-operator running is a bottleneck.
refusals-and-limits|7.2|3|A team wants an answer the model says it cannot give because the information post-dates what it knows.|Supply the current information, since the limitation is about recency rather than reasoning|Ask the question in a way that does not depend on recent information|Move to a newer model whose knowledge extends further forward|Ask the model to estimate what has probably happened since|A knowledge cutoff is an information gap that supplying the data closes. Recognising it as such is the diagnostic point.|Reframing to avoid the recency abandons the question. A newer model has a later but still fixed cutoff, and estimation invites invention.
efficiency-tuning|7.3|3|A team's cost is dominated by a small number of very long inputs.|Handle the long inputs differently, since that is where the cost concentrates|Reduce the total number of requests across the whole team|Move to a cheaper tier so the long inputs cost less to process|Ask people to submit shorter inputs|Cost concentrated in a few large inputs is addressed by treating those inputs differently rather than by uniform reductions affecting the cheap majority.|Cutting overall volume mostly reduces inexpensive requests. A cheaper tier pays less for the same skew, and shorter submissions may not be possible.
diagnosing-poor-output|7.1|3|An associate's output is poor and they are unsure whether the problem is the prompt or the model.|Try the same prompt on a stronger tier to separate the two|Rewrite the prompt to be as clear as possible and see whether the results improve|Move to a stronger tier permanently|Ask a colleague to try the same prompt|Running the same prompt on a stronger tier isolates capability from specification. If it still fails, the prompt is the problem.|Rewriting changes the prompt without isolating the variable. Switching permanently spends before diagnosing, and a colleague running the same prompt tests neither.
prompt-repair|7.1|3|A team's prompt works on the examples they wrote it against and fails on real inputs.|Test against real inputs during development rather than curated examples|Add the failing real inputs as additional examples in the prompt|Make the prompt more general so it covers a wider range|Filter real inputs to resemble the examples|Development examples are usually cleaner than reality. Testing against real inputs is what makes the prompt fit its actual job.|Absorbing failures as examples handles each case individually. Generality without testing is a guess, and filtering inputs changes the task.
context-problems|7.1|3|A team's prompt contains both instructions and reference material with no clear separation.|Separate them clearly so the instructions read as instructions|Move the instructions to the end so that they are the most recent thing the model encounters before it begins producing its response to the request|Shorten the reference material so the instructions stand out|Repeat the instructions inside the reference material|Instructions blended into reference material compete with it. Clear separation is what makes the instructional content legible as such.|Repositioning and repetition both leave the blend. Shortening the reference reduces volume without clarifying the structure.
consistency-issues|7.2|3|A team wants to know whether an apparent improvement is real or normal variation.|Run both versions several times and compare the distributions|Adopt the improved version, since the difference was clearly visible in the comparison the team made between the two versions of the prompt they were testing|Ask a colleague to judge which of the two versions is better|Run the improved version once more to confirm the result|A single comparison cannot separate a real difference from run-to-run variation. Multiple runs of each is what distinguishes them.|Adopting on one comparison acts on possible noise. Colleague judgement is not measurement, and one more run of one arm is not a comparison.
refusals-and-limits|7.2|3|An associate's workflow depends on behaviour that the model produces most of the time but not reliably.|Design the workflow to handle the cases where the behaviour does not occur|Add an instruction requiring the behaviour so that it happens consistently|Move to a stronger tier so the behaviour becomes reliable|Accept the failures as a limitation|Depending on unreliable behaviour requires handling the exceptions. Designing for them is what makes the workflow robust.|An instruction reduces the rate without eliminating it. A stronger tier does the same, and accepting failures leaves them unhandled.
