# d7-03 — optimisation and repair
efficiency-tuning|3|A team's workflow is accurate and slow, and the slowness is caused by a step nobody has questioned.|Question whether that step is needed at all|Move the slow step to a faster model tier so that it completes more quickly|Run the slow step in parallel with the others|Accept the latency as a cost of the current design|The cheapest optimisation is removing work that does not need doing. Questioning the step precedes making it faster.|Speeding up or parallelising an unnecessary step optimises waste. Accepting the latency skips the question entirely.
prompt-repair|3|An associate's prompt produces good analysis and poor formatting, and they keep rewriting the whole prompt.|Change only the formatting instruction and leave the rest alone|Rewrite the prompt from scratch with both the analysis and the formatting requirements described more carefully than they were in the original version|Add formatting examples to the prompt as well|Reformat the output manually after each run|When one aspect works and another does not, changing only the failing part preserves what already works. Wholesale rewriting risks the analysis.|A full rewrite puts the working analysis at risk. Examples may help but are a bigger change than needed, and manual reformatting repeats forever.
context-problems|3|A team's answers cite the right document but the wrong section within it.|Treat the locator as unverified and check it against the document|Ask the model to double-check its section references before it produces the final answer|Ask for the answer without a citation|Upload the document again so it is processed freshly|Correct content with a wrong locator is the characteristic failure, and only checking against the document settles it.|Self-checking uses the process that produced the error. Dropping citations loses traceability, and re-uploading addresses a fault that is not indicated.
consistency-issues|3|A team's prompt gives different results depending on the order documents are attached.|Fix the order or remove the dependence, since hidden order effects are a defect|Ask people to attach documents in a consistent order so that the results stop varying between different runs of the same workflow by different team members|Accept the variation between the different orderings|Combine all the documents into one single file|Hidden order dependence is a defect. Removing it or making the required order explicit turns invisible variation into a known property.|A convention people must remember is the weakest form of the fix. Accepting it leaves the variation, and combining files changes the input.
refusals-and-limits|3|An associate needs a task done that the model handles poorly and a colleague could do quickly.|Have the colleague do it, since not every task suits the tool|Keep refining the prompt until the model produces acceptable output for the task|Move to a stronger tier so the task is handled better|Split the task into smaller pieces the model can manage|Recognising when a task is a poor fit is part of using the tool well. The colleague is the better route here.|Refinement against a poor fit is a slow search. A stronger tier and decomposition both assume the task suits the tool.
efficiency-tuning|3|A team wants to reduce cost and has identified three candidate changes with different savings and risks.|Rank them by saving against risk and start with the best ratio|Implement all three at once so that the full saving is realised as quickly as possible and the team can move on to other work|Implement the largest saving first regardless of its risk|Implement the lowest-risk change first|Ranking by return against risk is what makes the sequence defensible rather than driven by one dimension alone.|Implementing all three at once obscures which caused any problem. Size and risk each ignore the other dimension.
diagnosing-poor-output|3|A team's failure rate rose sharply on one day and returned to normal the next.|Look at what was different about that day's inputs|Add monitoring so that future spikes are detected quickly and the team is alerted when the failure rate rises above its normal level for a sustained period|Ignore it as a transient anomaly that resolved itself|Add a retry so the failing requests are attempted again|A one-day spike is a bounded event with a findable cause. Examining that day's inputs is the direct investigation.|Monitoring detects future spikes without explaining this one. Ignoring it discards evidence, and retries treat a symptom.
prompt-repair|3|A prompt works well until the input contains a table, at which point the output degrades noticeably.|Handle tables explicitly, since the failure is tied to a specific input feature|Add a general instruction telling the model to be careful with structured content|Convert tables to prose before sending|Move to a stronger tier so tables are handled correctly|A failure tied to an identifiable input feature is addressed by handling that feature explicitly. The pattern points directly at the fix.|A general care instruction has no specific target. Conversion loses structure, and a stronger tier is a spend before a targeted fix is tried.
context-problems|3|An associate's prompt includes background that was relevant to an earlier version of the task.|Remove it, since stale context competes with what currently matters|Leave it, since additional background rarely does any harm and removing material risks losing something that turns out to be relevant to the current version|Update the background to reflect the current task|Move the stale background to the end of the prompt|Context that no longer applies competes for attention on every request. Removing it is the direct improvement.|Assuming background is harmless is the misconception. Updating may be right if it is still needed, and repositioning keeps the cost.
consistency-issues|3|A team's workflow is reliable in the morning and less so in the afternoon, and they suspect the time of day.|Look at what differs about afternoon inputs rather than at the clock|Investigate whether system load in the afternoon is affecting the results that the workflow produces during the busier part of the working day|Run everything in the morning when results are reliable|Accept the pattern and plan the work around it|Time of day is not a mechanism. The likely explanation is a difference in what gets submitted at each time, which is checkable immediately.|Investigating load treats a correlation as causal. Scheduling around it hides the variation, and accepting it abandons a diagnosable problem.
refusals-and-limits|3|A team wants the model to state a definite conclusion where the evidence genuinely does not support one.|Accept the hedged answer, since it reflects the state of the evidence|Ask for a definite conclusion anyway, since the team needs to make a decision and a hedged answer does not help them choose between the options in front of them|Ask for the most likely conclusion rather than a hedge|Move to a stronger tier so a firmer answer is produced|A hedge that reflects genuine uncertainty is the correct output. Forcing a definite answer manufactures confidence the evidence does not support.|Insisting produces false certainty. Asking for the most likely conclusion is closer but still presses past the evidence, and a stronger tier does not create data.
