# d2-m1 — Output Evaluation and Validation, multiple-response
# Targets official objectives 2.5 (adapt/compare output for the intended audience)
# and 2.6 (curate information, select output formats), both previously thin.
audience-adaptation|2.5|2|2|An associate has an accurate draft written for specialists and the readers are non-specialists.|Rewrite it for the audience who will actually read it|Say who the audience is when asking for the revision|Send it as it is, since the content is entirely accurate|Add a glossary at the end and leave the text unchanged|Ask the readers to look up the terms they do not know|Accuracy and fitness for an audience are different properties, so naming the real reader is what gets a draft that lands with them.|Accuracy does not make it usable, a glossary bolts onto the problem, and pushing the work to readers is how documents go unread.
audience-adaptation|2.5|3|2|A team must adapt one analysis for an executive summary and for a technical appendix.|Change what is included, not only how it is worded|Let each version carry what its own reader needs|Shorten the same text for one and lengthen it for the other|Use identical content and vary only the tone between them|Produce one version and let each reader skim what they need|Adapting for an audience changes the selection of content, not just its register, because different readers need different facts rather than the same facts styled differently.|Length and tone are surface changes, and one version for both leaves each reader filtering material meant for the other.
audience-adaptation|2.5|3|2|An associate is comparing two drafts of the same message and cannot decide between them.|Judge them against what the message has to achieve|Ask which one the intended reader would act on|Pick whichever one reads more fluently overall|Pick the longer one, since it covers more ground|Combine them into a single longer third version|Comparison needs a criterion, and for a message that criterion is the effect on its reader rather than how it reads to the writer.|Fluency and length are properties of the text rather than of its effect, and merging two drafts usually produces a worse third.
audience-adaptation|2.5|4|2|A team's output is technically correct and consistently ignored by the people it is written for.|Ask those readers what would make it worth reading|Treat readability for that audience as part of quality|Insist the readers engage with what has been produced|Shorten it, since length is the most likely problem|Accept it, since correctness is what the team controls|Output that goes unread has failed at its purpose, so the readers' account of why is the information the quality standard is missing.|Insisting ignores evidence, shortening guesses at the cause, and treating correctness as the whole of quality is what produced the gap.
output-formats|2.6|2|2|An associate must choose how to deliver a result that a colleague needs to work with directly.|An artifact, if the colleague will interact with the result|Inline text, if they only need to read the conclusion|Whichever format the associate finds quickest to produce|Always an artifact, since it looks more considered|Always inline, since it needs no extra step to open|Format follows what the receiver will do with the output, which is what separates something to read from something to use.|Producer convenience is not the criterion, and both absolute rules ignore what the colleague actually needs.
output-formats|2.6|2|2|A team needs output that another system will consume automatically rather than a person.|Ask for structured data in an agreed fixed shape|Fix the structure with a deterministic step after generation|Ask for prose and let the receiving system parse it|Ask for a nicely formatted document for readability|Have a person retype the values into the other system|A machine consumer needs a stable structure, and generated text varies, so the shape has to be both specified and enforced after the fact.|Parsing prose is fragile, human readability is the wrong goal here, and retyping puts a person inside an automated path.
output-formats|2.6|3|2|A team asks when curating information matters more than producing more of it.|When the reader has to act on a decision quickly|When the volume produced already exceeds what is read|When the subject is technically complex to describe|When the audience is more senior than the author is|When the output will be stored rather than circulated|Curation earns its place where attention is the scarce resource, which is exactly the case for a decision under time pressure and for output nobody finishes reading.|Complexity, seniority and storage describe the material and its route rather than the reader's capacity to absorb it.
output-formats|2.6|4|2|An associate's structured output is correct and the receiving team keeps reworking it by hand.|Ask what they rework and build that into the format|Treat the rework as an unmet requirement in the spec|Tell them the output already meets the agreed format|Accept it, since reworking is their own choice to make|Add a review step before the output reaches them|Silent rework is a requirement nobody wrote down, so collecting what they change is what turns the effort into a fixable specification.|Asserting compliance answers a question they did not ask, treating it as their choice hides a real cost, and another review checks against the wrong standard.
verifying-facts|2.3|2|2|An associate needs to verify a claim and has only the output that made the claim.|Find a source independent of the thing being checked|Treat the claim as unverified until such a source is found|Ask the model to confirm the claim a second time|Accept it, since nothing so far contradicts the claim|Ask the model how confident it is about the claim|Verification requires evidence from outside the thing being verified, which is what makes independence the whole point rather than a refinement.|Re-asking produces another output from the same source, absence of contradiction is not evidence, and self-reported confidence is one more generated claim.
sampling-and-evidence|2.3|3|3|An associate has limited time and ten claims to check in a document.|Check the claims the conclusion actually rests on|Check anything that would be expensive to get wrong|Say which claims were checked when passing it on|Check them in the order that they appear in the text|Check the ones that look least plausible on the face of it|Limited verification is allocated by consequence and reported honestly, so the reader knows which parts carry evidence and which do not.|Document order is arbitrary, and implausibility is a weak proxy for whether an error would actually matter.
verifying-facts|2.3|4|2|An associate spots that one figure in a briefing was invented and the briefing holds many more.|Treat every other citation as newly uncertain|Recognise that one fabrication is evidence about the process|Correct that citation and rely on the rest as they are|Remove all the citations rather than checking any of them|Check a small random sample of the remaining citations|A fabrication says something about how the document was produced, which changes the prior on everything produced the same way.|Fixing one assumes it was isolated, removing citations destroys the grounding, and a small sample can easily miss the others.
hallucination-detection|2.2|2|2|A team receives a confident, detailed answer about their own internal process.|Check it against the team's own documentation|Recognise the model has no access to that process|Accept it, since the description matches what they expected|Ask the model where it obtained the information from|Accept it if nothing in it appears self-contradictory|A model cannot know an organisation's internal process, so a confident answer about one is generated, and the documentation is what settles it.|Matching expectations is exactly how a plausible fabrication passes, a source request produces an invented source, and internal consistency is easy to generate.
