# d7-01 — Troubleshooting and Optimization. Rebuilt to the official exam-item standard:
# scenario + explicit interrogative, four verb-led options, tagged to a guide objective.
# Format: concept|objective|tier|stem|CORRECT|d1|d2|d3|why|traps
diagnosing-poor-output|7.1|2|An associate's prompt returns an answer that is accurate but pitched at the wrong reader. What should they change first?|State in the prompt who will read the answer|Ask for the answer to be rewritten more simply|Rewrite the answer by hand into the right register|Add a note asking for the tone to be adjusted|Register follows from the reader, so naming the audience is what makes the model choose the level instead of guessing at it.|Asking for simpler wording gives a direction without a target, hand-rewriting fixes one answer only, and a general note about tone repeats the original vagueness.
diagnosing-poor-output|7.1|2|A team asks a broad question, receives a broad answer, and calls it unhelpful. What is the most effective response?|Ask the narrower question they actually wanted answered|Ask the same question and request more detail in it|Ask the same question with a much longer answer requested|Ask a series of follow-up questions after the answer|A broad question is answered broadly, so narrowing what is asked is what narrows what comes back.|More detail on a broad question broadens it further, length is not specificity, and follow-ups arrive at the answer eventually at several times the cost.
diagnosing-poor-output|7.1|2|An output contains one confident statement an associate knows to be false. What should they do before using the rest?|Check the remaining claims, since one error suggests others|Correct that statement and use the remainder as it is|Discard the whole output and start the task again|Ask the model whether the statement was correct|A confident error is evidence about how the output was produced, which makes every other claim in it newly uncertain.|Fixing one error assumes it was isolated, discarding everything wastes usable work, and asking the model to grade itself is not an independent check.
prompt-repair|7.1|2|A prompt asks for "a short summary" and returns anything from two lines to two pages. What is the correct fix?|State the length wanted in words or in sentences|Ask for a short summary rather more emphatically|Trim anything over the intended length by hand|Run the prompt twice and keep the shorter result|"Short" is relative and a number is not, so replacing the vague term with a quantity is what removes the variation.|Emphasis does not define a quantity, hand-trimming repairs each output separately, and picking the shorter of two leaves both undefined.
prompt-repair|7.1|2|A prompt demands exhaustive detail and a strict word limit, and the output meets neither. What should the author do?|Decide which instruction wins and say so explicitly|Restate both instructions more forcefully than before|Put the more important instruction first in the prompt|Split the task into two entirely separate prompts|A contradiction has to be resolved by the author, and stating the precedence is what tells the model how to resolve it.|Force does not settle a contradiction, ordering is a weak signal of priority, and splitting produces two outputs that still conflict with each other.
prompt-repair|7.1|2|A prompt tells the model several things not to do, and the output still does one of them. What is the better construction?|State what to do instead of each prohibition|Repeat each prohibition at the end of the prompt|Make the prohibitions considerably more forceful|Remove them, since prohibitions never work at all|A prohibition marks a space to avoid without naming a target, so a positive instruction gives the model something to aim at instead.|Repetition and force restate the same negative, and abandoning prohibitions entirely overstates what is a fixable wording problem.
context-problems|7.1|2|An associate refers to "the document" with three attached, and the answer concerns the wrong one. What should they do?|Name the specific document they are asking about|Ask the model which document it actually used|Remove the other documents from the conversation|Repeat the question with more emphasis placed on it|An ambiguous reference is resolved by naming what is meant, which removes the guess rather than investigating it after the fact.|Asking which one it used diagnoses without fixing, removing documents loses material the work may need, and emphasis does not disambiguate a reference.
context-problems|7.1|2|A long working session begins producing answers that contradict what was agreed earlier in it. What is the most reliable fix?|Restate the agreed points in a fresh conversation|Ask the model to re-read the earlier conversation|Correct each contradiction as and when it appears|Ask for a summary before continuing the session|Once earlier detail has fallen out of reach, restating it in a fresh conversation is what puts it back where the work can use it.|The model cannot re-read what it can no longer see, correcting each contradiction treats symptoms, and a summary of a degraded thread inherits its gaps.
diagnosing-poor-output|7.1|3|An answer is well written and omits a constraint the associate stated in the prompt. What should they check first?|Where in the prompt that constraint actually appears|Whether repeating it at the end would help|Whether the model can apply it on request|Whether stronger wording would make it stick|A constraint buried inside a long prompt competes with everything around it, so its position is the first thing worth establishing.|Moving, re-asking and re-wording are all fixes applied before the cause is known, and each repairs one output rather than the prompt.
prompt-repair|7.1|3|A prompt supplies three examples and the output copies their subject matter rather than their structure. What should be changed?|State explicitly what the examples are meant to show|Replace the examples with ones on other subjects|Reduce the number of examples from three to one|Describe the desired structure instead of showing it|Examples are ambiguous about which of their properties matter, and naming the property is what makes them read as form rather than as content.|Varying the subjects can help but leaves the intent unstated, fewer examples weakens the pattern, and dropping examples loses their value entirely.
