# d3-m1 — Product and Model Selection, multiple-response
# Targets official objectives 3.1 (Projects, research mode, chat, artifacts) and
# 3.2 (Haiku, Sonnet, Opus by name), both previously thin.
model-tiers|2|2|An associate is asked what distinguishes the Haiku, Sonnet and Opus model families from each other.|They trade capability against speed and cost differently|The heavier families suit work that needs deeper reasoning|They differ only in how recently each one was released|They each specialise in a different subject area entirely|The lighter families are less accurate on every single task|The families sit on a capability-versus-cost curve, so the choice is about matching that trade to the task rather than about subject or recency.|Release order is not the distinction, none of them is subject-specialised, and a lighter family is not worse at everything — it is worse where depth is required.
model-tiers|2|2|A team needs to classify a very high volume of short support messages into fixed categories.|A Haiku-class model is likely to be sufficient here|Test it against the categories before committing to it|Opus, since classification accuracy is always critical|The newest available model, whichever family it belongs to|Whichever model the team is already using elsewhere|Narrow, well-defined classification at volume is what the lighter families are for, and a test against the real categories is what confirms it for this data.|Reaching for the heaviest model on a simple task pays for capability that is not used, and novelty or habit are not fit arguments.
model-tiers|3|2|A team's task involves long, multi-step reasoning where an early mistake invalidates everything after it.|An Opus-class model suits the depth this task needs|Verification still matters, whichever family is chosen|A Haiku-class model with a longer prompt will do as well|The reasoning depth makes any verification unnecessary|Splitting it across several cheap calls removes the risk|Chained reasoning is where the heavier families earn their cost, and no family removes the need to check a result the process depends on.|Prompt length does not supply reasoning depth, capability never removes verification, and splitting a dependent chain does not make each link safer.
model-tiers|4|3|A team must justify why their workflow uses an Opus-class model and has never tested anything cheaper.|Run the cheaper families on the team's own real cases|Compare accuracy against the cost difference it would save|Decide on the evidence rather than on the original choice|Keep it, since the workflow currently produces good results|Switch to the cheapest family and watch for complaints|An unjustified choice becomes justified by measuring the alternatives on the actual task and pricing the difference, which is what turns habit into a decision.|Working today says nothing about being right-sized, and switching to the cheapest without testing is the same unevidenced guess in the other direction.
feature-fit|2|2|A colleague needs to explore a set of numbers themselves rather than read a description of them.|Produce an artifact they can open and interact with|Choose the surface by what the reader needs to do|Write a longer and more detailed written explanation|Send them the conversation that produced the numbers|Summarise the numbers in a short message instead|When the point is for someone to explore rather than read, an interactive artifact does what prose cannot, and the reader's task is what should pick the format.|More prose, the source conversation and a summary are all still reading rather than doing.
feature-fit|3|2|A team needs a question answered from many current public sources rather than from one document.|Research mode suits a question that needs wide gathering|Check the sources it returns rather than trusting the summary|A plain chat answer will cover current sources just as well|Attaching one document is equivalent to searching broadly|Research output needs no verification because it cites sources|Broad, current questions are what research-style gathering is for, and the citations it returns are exactly what has to be checked rather than assumed.|A plain answer draws on training rather than current sources, one document is not a search, and citations are a starting point for verification rather than a substitute.
feature-fit|3|2|An associate must choose between a Project, a plain chat and an artifact for a piece of work.|A Project, where the same material recurs across questions|An artifact, where the output is something to be used|A plain chat, since it is always the simplest option|A Project, since Projects are better than chats generally|An artifact, since artifacts look more professional|Each surface answers a different need: recurring material, or an output someone will interact with, which is what makes the task the deciding factor.|Simplicity, general superiority and appearance are all reasons that ignore what the work actually requires.
feature-fit|4|2|A team wants a document several people will edit over months, drafted with Claude's help.|Draft with Claude and keep the document where people edit|Recognise that drafting and collaborative editing differ|Keep the document inside the conversation that drafts it|Have Claude regenerate it after each round of edits|Have one person hold it and apply everyone else's edits|Drafting and long-lived collaborative editing are different jobs, so the document belongs where people already collaborate rather than inside a conversation.|A conversation is not a shared editing surface, regeneration discards other people's edits, and a single custodian is a bottleneck.
capability-matching|2|2|A team is deciding which model to use for a task and lists what should inform the decision.|What the task itself actually demands of the model|What an error in this particular task would cost|Which model the team used for the last project|Which model was released most recently by Anthropic|Which model has the largest published context window|Fit is set by the difficulty of the work and the consequence of getting it wrong, which together decide how much capability is worth buying.|Habit and recency are not fit arguments, and context size matters only if the task actually needs it.
capability-matching|3|2|A team's workload is mostly simple with a small fraction needing genuine judgement.|Route the hard fraction to a more capable model|Handle the simple majority on a cheaper model|Use the most capable model for the whole workload|Use the cheapest model and accept the hard cases failing|Average the two by picking a mid-tier model for everything|A mixed workload has no single right model, so separating the cases is what lets each be served at its own cost.|One capable model overpays on the majority, a cheap one chooses to be wrong on the minority, and a compromise tier serves neither case well.
capability-matching|4|2|A team's outputs are disappointing and both the model and the input quality are plausible causes.|Improve the inputs first, since that is the cheaper test|Change one variable at a time to keep the cause visible|Move to a stronger model, since that is the faster test|Improve both at once for the largest possible gain|Conclude it is the model, since the prompt looks fine|Two candidate causes are separated by changing one, and input quality is both cheaper to change and the more frequent culprit.|Speed of testing is not cost, changing both confounds the result, and judging a prompt by appearance is not a test.
cost-latency|2|2|An associate is asked what actually drives what a single request costs.|How much text is sent into the request itself|How much text comes back again in the response|How long the user then has to wait for an answer|How difficult the question itself is to answer|How many times that request has been run before|Cost tracks the volume of text in and out, which is why long context and long answers are what move a bill.|Waiting time, difficulty and history all feel like cost drivers but are not what is being measured.
cost-latency|3|2|A team's overnight batch has hours of slack before anyone needs its output.|Optimise for cost, since latency buys nothing here|Consider a lighter model family for the same work|Optimise for latency, since faster is always better|Split the effort evenly between cost and speed|Leave it alone, since the job already finishes in time|With hours of slack, speed has no value, which makes cost the only dimension where effort returns anything.|Speed for its own sake spends on a non-constraint, splitting effort funds it anyway, and leaving it alone forgoes an available saving.
projects-vs-chat|3|2|A support team looks up the same three policy pages dozens of times every week.|A Project, because the material recurs across conversations|The recurrence is what makes the setup cost worth paying|Attachments, because they guarantee the files are seen|One long conversation, so the context keeps accumulating|Pasting the text, because it puts it directly in the prompt|Daily reuse of stable documents is precisely the reuse test a Project is designed for, and recurrence is what repays the setup.|Attaching and pasting repeat the same work many times a day, and one long conversation eventually loses its earliest content.
scaling-decisions|3|2|A team is moving a workflow from a few hundred to many thousands of requests a month.|Cost will scale with volume and needs forecasting|Limits and error handling become design questions|Nothing changes except the size of the monthly bill|Quality falls automatically as volume increases|The model family must change at higher volumes|A large increase crosses thresholds a small volume never meets, so cost and failure handling both become design work rather than arithmetic.|Treating it as a bigger bill misses the thresholds, quality does not degrade with volume by itself, and the family may well still fit.
