# d7-08 — troubleshooting: limits versus refusals, trade-offs and maintenance
refusals-and-limits|2|An associate asks Claude to confirm a fact and it says that it is not certain.|Treat the stated uncertainty as useful information|Press it for a definite answer one way or the other|Take the uncertainty as meaning the fact is false|Ask a differently worded question to get certainty|An admission of uncertainty is more useful than a confident guess, because it tells you exactly where checking is needed.|Pressing for certainty invites a fabricated one, uncertainty is not falsity, and rewording to remove a caveat changes the presentation rather than the knowledge.
prompt-repair|2|An associate's prompt gives the model a role and nothing else about the task.|Describe the actual task alongside the role given|Give a more senior-sounding role in the prompt|Describe the role itself in much greater detail|Give two roles so more perspectives are covered|A role shapes tone and framing while the task is what the model is being asked to do, and the task is what was missing.|Seniority in a role label does not add task detail, elaborating the role adds more of what is already there, and two roles multiply framing without a task.
consistency-issues|2|A team's answers use different terms for the same thing across a single report.|Give the preferred term for each concept in the prompt|Standardise the terms by hand after each draft|Ask for terminology to be kept consistent throughout|Accept it, since the meaning is clear either way|Terminology that is not specified varies between passages, and naming the preferred term is what fixes it.|Hand-standardising repeats every time, asking for consistency does not say which term wins, and inconsistent terms in one report undermine it.
context-problems|2|An associate needs the model to use a definition from a document rather than the common one.|Quote the definition directly in the prompt itself|Attach the document and mention it in passing|Ask the model to use the document's definitions|Say that the common definition should not be used|A definition the answer depends on is worth putting where it cannot be missed, which is directly in the prompt.|A passing mention relies on retrieval finding it, a general instruction does not supply the wording, and forbidding the common meaning leaves no replacement.
efficiency-tuning|2|A team wants to know when a task is worth automating with a prompt at all.|When it recurs and its output can be checked easily|When it takes a long time to do by hand each time|When several people in the team have to do it|When the team has a prompt that nearly works already|Repetition is what makes the investment pay back, and checkability is what makes the result usable.|Duration alone does not justify it for a one-off, headcount is a form of repetition already covered, and an existing prompt is a starting point rather than a reason.
diagnosing-poor-output|2|An answer is correct but the associate wanted to know how confident to be in it.|Ask what the answer depends on for it to be true|Ask the model how confident it is in the answer|Ask for the answer to be produced a second time|Ask for the answer with more supporting detail|Confidence in an answer comes from seeing its assumptions, since those are what a reader can check independently.|A stated confidence level is another generated claim, a second run tests stability rather than truth, and more detail can be equally unfounded.
refusals-and-limits|2|A model says it cannot open a link the associate has pasted into the prompt.|Paste the relevant content instead of the link|Paste the same link again in a different format|Ask the model to describe what the link contains|Ask the model to try opening the link one more time|If the tool cannot fetch a page, supplying its content directly is what makes the material available.|Reformatting a link does not create access, a description of an unopened page would be invented, and retrying ignores a stated limit.
prompt-repair|2|A prompt produces an answer that is right but assumes knowledge the reader will not have.|Say in the prompt who will actually read the answer|Ask for the answer to be written rather more simply|Explain the missing background to the reader yourself|Ask for technical terms to be avoided in the answer|The reader determines how much has to be explained, so naming them is what sets the level throughout.|"More simply" is a direction without a target, explaining afterwards is work repeated each time, and avoiding terms treats vocabulary rather than assumed knowledge.
consistency-issues|2|An associate asks the same question twice and gets answers that differ in emphasis.|Expect some variation and specify what must be fixed|Treat the difference as an error to be reported|Always run the question twice and compare the answers|Use only the first answer to avoid the confusion|Wording varies between runs by design, so the practical response is to pin down whatever the work depends on.|Variation is not a defect, running twice doubles the cost as a routine, and taking the first answer avoids the question rather than answering it.
context-problems|3|A team's Project has grown to two hundred documents and answers have become vaguer.|Split it into Projects by the questions people ask|Keep it, since a larger Project covers more ground|Add instructions telling the model where to look|Remove the two hundredth document and reassess|Vagueness at scale is retrieval competing across too much material, and splitting by question type is what restores the narrowing.|Coverage is what is causing the vagueness, an instruction does not reduce what is present, and removing one document out of two hundred changes nothing.
