# d2-02 — validation judgement, evidence handling, review design
verifying-facts|2.3|3|A team receives a Claude-drafted briefing containing twelve factual claims. Nine are about their own company and three are about the wider market.|Verify the market claims most carefully, since internal facts can be checked by colleagues quickly|Verify all twelve claims to the same standard regardless of their subject matter|Verify the internal claims first, since errors about your own company are most embarrassing|Ask Claude which of the twelve claims it is least certain about and check those|Verification effort follows both consequence and how hard something is to check. Internal facts have cheap authoritative checks; external market claims do not, which is where care concentrates.|Uniform effort ignores that some checks are trivial. Ordering by embarrassment misreads risk, and model-flagged uncertainty misses confident errors.
hallucination-detection|2.2|3|An associate reads a Claude-generated answer and finds one detail that is clearly wrong. Everything else in the answer seems correct.|Increase scrutiny of the rest, since a confirmed error means it was unreliable|Correct the wrong detail and accept the remainder of the answer as written|Ask Claude to correct the detail and regenerate the surrounding paragraph|Note the error and continue, since a single wrong detail is within normal tolerance|A confirmed error is direct evidence about this specific output's reliability. It should raise your estimate of errors elsewhere in it rather than being treated as isolated.|Treating the error as contained assumes independence you have no reason to expect. Regeneration and tolerance framing both skip the update the evidence warrants.
sampling-and-evidence|2.3|3|A team compares two prompts by running each once on the same input. Prompt A's output is noticeably better, so they adopt it.|Run both several times, since one pair cannot separate prompts from variation|Adopt prompt A, since a clearly better output on the same input is convincing evidence|Run prompt A again to confirm the quality is reproducible before adopting it|Ask Claude to compare the two prompts and explain which should perform better|Output varies run to run, so a single comparison can be decided entirely by that variation. Multiple runs are what distinguish a prompt difference from noise.|A clear single win is exactly what noise produces sometimes. Re-running only the winner tests stability of one arm, and model opinion is not output evidence.
self-evaluation-limits|2.4|3|An associate asks Claude to rewrite a paragraph, then asks whether the rewrite is better than the original. Claude says it is.|Compare them yourself against what the paragraph must do|Accept the assessment, since the model compared both versions directly|Ask Claude to explain what specifically makes the rewrite better|Ask Claude to compare them again without knowing which version it wrote|A model asked whether its own edit improved something will say yes. The comparison inherits the same judgement that produced the rewrite.|Explanations justify the verdict already given. Blinding is not achievable within the same conversation where it produced the text.
quality-criteria|2.4|3|A team asks for output that is "accurate, clear and comprehensive". A draft arrives that is accurate and clear but omits an area, and reviewers cannot agree whether it meets the bar.|Rank the three properties, so reviewers know what to do when any of them conflict|Ask for a draft that satisfies all three properties fully in the next attempt|Add more detail to the requirements so each property is defined more precisely|Ask Claude which of the three properties its draft satisfies best|Multiple quality properties trade off, and a standard that does not rank them cannot resolve the case where one is sacrificed. Priority is what makes the bar decidable.|Demanding all three fully ignores the trade-off. More definition of each property does not order them, and self-assessment does not settle a policy question.
completeness-gaps|2.1|3|An associate asks Claude to summarise the findings of a study. The summary covers the significant findings and omits the null results the study also reported.|Ask specifically for the null and the negative findings too|Ask for a longer summary so more of the study's content is represented|Ask Claude whether the study reported any findings that were not significant|Read the results section directly rather than relying on the summary|Absence of effect is a finding that summarisation systematically drops as uninformative. Asking for it explicitly is what brings it into scope.|Length does not restore a category treated as non-content. A yes-or-no follow-up may be answered from the same compressed view, and reading it yourself forfeits the summary.
numerical-accuracy|2.1|3|A team receives a percentage change calculated by Claude. The base figure it used is not stated anywhere in the output.|Ask for the base figure that the percentage was taken from|Accept the percentage, since the calculation itself was requested and performed|Ask Claude to recalculate and include more detail in the output|Compare the percentage against last quarter's figure for plausibility|A relative figure without its base is not a number you can act on, and stating the base also makes the calculation checkable. Both problems are solved by asking for it.|Accepting it leaves the figure uninterpretable. A vaguer request for detail may not surface the base, and plausibility comparison does not supply it.
source-attribution|2.3|3|An associate's report includes a claim Claude produced while working from a supplied document. When checked, the document supports a weaker version of the claim.|Restate the claim at the strength the document actually supports|Keep the claim, since the document broadly supports the point being made|Add a citation to the document so readers can assess the claim themselves|Ask Claude to find additional support for the stronger version of the claim|Strengthening during summarisation is a common drift, and the fix is to match the claim to the evidence. Citation without correction points a reader at a document that does not say it.|Broad support is not support for the specific claim. Citing an unmatched source is worse than not citing it, and seeking new support starts from the overstated version.
review-workflow|2.4|3|A team wants to know whether their review step is working. They have no record of what reviewers have caught over the past six months.|Start recording what review catches, since an unmeasured control cannot improve|Ask reviewers whether they feel the review step is catching enough errors|Increase the number of reviewers to improve the chance of catching errors|Compare the current error rate against the rate before review was introduced|A control with no record produces no evidence about its own effectiveness. Logging catches is what makes the question answerable at all.|Reviewer impressions are unreliable. Adding reviewers changes a process you cannot yet evaluate, and a before-and-after comparison needs the data that was never kept.
bias-and-framing|2.2|3|An associate asks Claude "why is this approach better than the alternative?" and receives a well-argued case for the approach.|Ask which of the approaches is better and why, rather than assuming|Accept the argument, since it engaged with the comparison that was requested|Ask the same question about the alternative and compare the two arguments|Ask Claude to identify weaknesses in the argument it just produced|A leading question gets a compliant answer. Rephrasing so the comparison is open is what lets the model reach either conclusion.|The argument answers the question asked, which was the wrong question. Arguing both sides produces two advocacy pieces, and self-critique operates on a case built to a brief.
