# d5-m1 — Configuration and Knowledge Management, multiple-response
# Format: concept|tier|ncorrect|stem|o1|o2|o3|o4|o5|why|traps  (first `ncorrect` options are correct)
# Targets official objective 5.2 (connectors), previously uncovered.
connectors|2|2|A team connects Claude to their Google Drive so it can answer questions about a shared folder.|Check which folders the connection actually exposes to Claude|Confirm the team is permitted to process that material|Assume the connection is read-only and needs no further review|Grant access to the whole Drive so nothing is ever missing|Disconnect it whenever the team is not actively asking questions|A connector widens what Claude can reach, so the two things to establish are what it can now see and whether that material is permitted to be processed at all.|Read-only access still exposes content, whole-Drive access maximises exposure rather than limiting it, and disconnecting between uses controls nothing while it is connected.
connectors|2|2|A team is deciding whether to connect a shared mailbox to Claude or keep attaching files by hand.|Connect it where the same material is needed again and again|Keep attaching by hand where the need is genuinely one-off|Always connect, since a connection is less work than attaching|Never connect, since attachments are always more precise|Connect it and also attach the same files for redundancy|A connection pays off through repeated use and carries a standing exposure, so how often the material is needed is what decides between the two.|"Always" ignores the standing access a connection creates, "never" forgoes a real saving, and doing both duplicates content that then competes for attention.
connectors|3|2|An associate connects a Drive folder and colleagues start getting answers from documents they cannot themselves open.|Review whether the connector's access matches each person's own|Raise it, since the connector may be widening effective access|Accept it, since the connector was approved for the team|Tell colleagues to ignore answers about documents they cannot open|Remove the connector and go back to manual attachments entirely|A connector can let answers reach people who would not otherwise have access to the source, which is an access-control question rather than a convenience one.|Team-level approval does not settle individual entitlement, asking people to ignore what they have seen does not unsee it, and removing it discards a useful capability before the question is answered.
connectors|3|2|A team asks how a connected source differs from a document uploaded into a Project.|The connected source reflects changes made at the source|An uploaded copy stays as it was at the moment of upload|A connected source is always more accurate than an upload|An upload can never be updated once it has been added|Connected sources are reviewed by the platform before use|A connection tracks the live source while an upload is a snapshot, and that difference is what decides which suits material that changes.|Currency is not the same as accuracy, uploads can be replaced, and connection does not imply any review of the content.
connectors|4|3|A team must decide what to connect for a Project answering questions about their current policies.|The folder holding the approved current policies|Nothing whose contents they are not permitted to process|Only sources somebody is responsible for keeping current|Every folder the department owns, for maximum coverage|The archive of superseded policies, for historical context|A connection should reach current, permitted, owned material, because those three properties are what make the answers both correct and defensible.|Maximum coverage dilutes retrieval with material no question uses, and connecting the superseded archive reintroduces exactly the stale guidance the Project exists to replace.
connectors|4|2|An associate's connected folder is reorganised by its owner and Project answers quietly get worse.|Treat the connected source as a dependency with an owner|Agree with the owner how changes will be communicated|Re-upload the documents so the Project no longer depends on it|Ask the owner to stop reorganising the folder in future|Accept it, since connected sources are expected to change|A live connection makes somebody else's housekeeping part of your Project, so the relationship with that owner is the thing to manage.|Re-uploading trades currency for stability without deciding which is wanted, asking the owner to freeze their folder is rarely available, and accepting silent degradation is the problem.
projects-setup|2|2|A team is setting up a Project and deciding what belongs in instructions rather than in knowledge.|Rules that should shape every answer go in the instructions|Material the answers should draw facts from goes in knowledge|Anything long goes in knowledge and anything short in instructions|Whatever the team wrote most recently goes in the instructions|Both should hold the same content so nothing can be missed|Instructions shape how every answer is produced and knowledge supplies what is true, and the content's role is what decides where it belongs.|Length and recency describe the text rather than its function, and duplicating content across both makes it compete with itself.
projects-setup|3|2|An associate is asked what makes a Project worth creating rather than just using a conversation.|The same material is needed across many conversations|Standing rules should apply without being restated each time|The task is important enough to deserve its own Project|The documents involved are too large to attach to a chat|A Project is always preferable to a plain conversation|A Project earns its setup cost through reuse of material and persistence of rules, which are the two things a conversation cannot give you.|Importance is not reuse, size is not the deciding factor, and a Project is overhead that a one-off question does not repay.
project-knowledge|3|2|A team's Project answers are good and they are deciding what to add next.|Material that questions currently go unanswered without|Material somebody is willing to keep current over time|Anything the department has produced in the last year|Documents that are hard to find anywhere else in the company|Whatever is largest, since it covers the most ground|Additions earn their place by answering real questions and by having someone to maintain them, because unmaintained material is what turns a good Project stale.|Recency, findability elsewhere and size all describe the document rather than whether any question needs it.
custom-instructions|2|2|A team's Project instruction is long and the team wants to know what to cut.|Rules that no observed failure has ever depended on|Rules that duplicate what a knowledge document already says|Rules that were added by people who have since left|Rules written in the longest and most detailed language|Rules that the newest team members do not understand|Instructions dilute one another, so what to cut is whatever earns nothing: rules preventing failures that do not occur, and rules restating the knowledge.|Authorship, length and familiarity all describe the rule's history or style rather than whether it is doing any work.
custom-instructions|4|2|An associate wants a Project to behave differently for two kinds of request and has one instruction set.|Split it into two Projects, one per kind of request|Accept that one instruction set applies to everything in it|Write instructions covering both kinds and let the model choose|State the kind at the start of every single question asked|Switch the instructions over whenever the kind changes|Instructions apply unconditionally to every conversation in a Project, so two behaviours genuinely need two Projects rather than one conditional rule set.|Dual instructions fire on both kinds, per-question labelling depends on the asker remembering, and switching invites an error at every changeover.
